name;frameTime;F0final_sma;voicingFinalUnclipped_sma;pcm_loudness_sma
'unknown';1.510000;1.902740e+01;5.112135e-01;1.024353e-01
'unknown';1.520000;3.855112e+01;5.241708e-01;7.078738e-02
'unknown';1.530000;3.855112e+01;5.241708e-01;5.222746e-02
'unknown';1.540000;4.011477e+01;5.280106e-01;5.319512e-02
'unknown';1.550000;4.281795e+01;5.275568e-01;8.281875e-02
'unknown';1.560000;6.276790e+01;7.909473e-01;9.023095e-02
'unknown';1.570000;5.977722e+01;7.904582e-01;6.465488e-02
'unknown';1.580000;3.755032e+01;5.279967e-01;3.062063e-02
'unknown';1.590000;3.864104e+01;5.301619e-01;1.611763e-02
'unknown';1.600000;4.397960e+01;5.340045e-01;4.072604e-02
'unknown';1.610000;6.517269e+01;7.983789e-01;6.818566e-02
'unknown';1.620000;6.383275e+01;8.004350e-01;6.204643e-02
'unknown';1.630000;4.089381e+01;5.319863e-01;5.820485e-02
'unknown';1.640000;3.911407e+01;5.336587e-01;5.959046e-02
'unknown';1.650000;3.866915e+01;5.349504e-01;7.167809e-02
'unknown';1.660000;3.866915e+01;5.349504e-01;6.799880e-02
'unknown';1.670000;1.925581e+01;2.689036e-01;5.122691e-02
'unknown';1.680000;0;0;3.689638e-02
'unknown';1.690000;1.782947e+01;2.444314e-01;1.887252e-02
'unknown';1.700000;4.671485e+01;4.855895e-01;1.478800e-02
'unknown';1.710000;7.562533e+01;7.340245e-01;4.990716e-02
'unknown';1.720000;1.187810e+02;7.572904e-01;8.141128e-02
'unknown';1.730000;1.513389e+02;7.964199e-01;1.299809e-01
'unknown';1.740000;1.844198e+02;8.336701e-01;2.871575e-01
'unknown';1.750000;1.860158e+02;8.527849e-01;4.005412e-01
'unknown';1.760000;1.878164e+02;8.572356e-01;4.286965e-01
'unknown';1.770000;1.902098e+02;8.536409e-01;3.196496e-01
'unknown';1.780000;1.952809e+02;8.451733e-01;2.848300e-01
'unknown';1.790000;2.024418e+02;8.365281e-01;3.886662e-01
'unknown';1.800000;2.091986e+02;8.342931e-01;4.593935e-01
'unknown';1.810000;2.127825e+02;8.358768e-01;4.370331e-01
'unknown';1.820000;2.124931e+02;8.342026e-01;2.545381e-01
'unknown';1.830000;2.084476e+02;8.295970e-01;1.633360e-01
'unknown';1.840000;2.030638e+02;8.235631e-01;1.979516e-01
'unknown';1.850000;1.966591e+02;8.177519e-01;3.166846e-01
'unknown';1.860000;1.906844e+02;8.042781e-01;3.612665e-01
'unknown';1.870000;1.847645e+02;7.740093e-01;3.824272e-01
'unknown';1.880000;1.792800e+02;7.517760e-01;3.256725e-01
'unknown';1.890000;1.761091e+02;7.472600e-01;2.510145e-01
'unknown';1.900000;1.742508e+02;7.658048e-01;1.100219e-01
'unknown';1.910000;1.752539e+02;7.849399e-01;1.032421e-01
'unknown';1.920000;1.773838e+02;8.088085e-01;1.206159e-01
'unknown';1.930000;1.792169e+02;8.329363e-01;2.126123e-01
'unknown';1.940000;1.790593e+02;8.571269e-01;2.063991e-01
'unknown';1.950000;1.770722e+02;8.666207e-01;3.153063e-01
'unknown';1.960000;1.745370e+02;8.676786e-01;3.554254e-01
'unknown';1.970000;1.722972e+02;8.612364e-01;4.167329e-01
'unknown';1.980000;1.704844e+02;8.474494e-01;3.287843e-01
'unknown';1.990000;1.680742e+02;8.275717e-01;3.398046e-01
'unknown';2.000000;1.664360e+02;8.215871e-01;3.495104e-01
'unknown';2.010000;1.653358e+02;8.196713e-01;3.537295e-01
'unknown';2.020000;1.648991e+02;8.284164e-01;2.160912e-01
'unknown';2.030000;1.636288e+02;8.247181e-01;1.125391e-01
'unknown';2.040000;1.618786e+02;8.249858e-01;9.480596e-02
'unknown';2.050000;1.596739e+02;8.184882e-01;1.798868e-01
'unknown';2.060000;1.561349e+02;8.072278e-01;2.539214e-01
'unknown';2.070000;1.241930e+02;7.846766e-01;3.032498e-01
'unknown';2.080000;7.187262e+01;5.149505e-01;3.088429e-01
'unknown';2.090000;6.696358e+01;5.087299e-01;2.538814e-01
'unknown';2.100000;9.090741e+01;5.287407e-01;2.012392e-01
'unknown';2.110000;1.362370e+02;8.030310e-01;1.471833e-01
'unknown';2.120000;1.350436e+02;8.174719e-01;1.586351e-01
'unknown';2.130000;1.331139e+02;8.212585e-01;1.814790e-01
'unknown';2.140000;1.307042e+02;8.206499e-01;2.131632e-01
'unknown';2.150000;1.289045e+02;8.223006e-01;2.195111e-01
'unknown';2.160000;1.277401e+02;8.201928e-01;2.298775e-01
'unknown';2.170000;1.269845e+02;8.207769e-01;2.346395e-01
'unknown';2.180000;1.264861e+02;8.219020e-01;2.727618e-01
'unknown';2.190000;1.259722e+02;8.236524e-01;2.754275e-01
'unknown';2.200000;1.255393e+02;8.249379e-01;2.654455e-01
'unknown';2.210000;1.253133e+02;8.293332e-01;3.298866e-01
'unknown';2.220000;1.252685e+02;8.322406e-01;3.941052e-01
'unknown';2.230000;1.253067e+02;8.353741e-01;4.654388e-01
'unknown';2.240000;1.254150e+02;8.372024e-01;4.403408e-01
'unknown';2.250000;1.256468e+02;8.379683e-01;4.355621e-01
'unknown';2.260000;1.260216e+02;8.379990e-01;4.136342e-01
'unknown';2.270000;1.262596e+02;8.366904e-01;4.512043e-01
'unknown';2.280000;1.260442e+02;8.362961e-01;3.794938e-01
'unknown';2.290000;1.254089e+02;8.353335e-01;4.519002e-01
'unknown';2.300000;1.248243e+02;8.357828e-01;3.100630e-01
'unknown';2.310000;1.244858e+02;8.340061e-01;4.105017e-01
'unknown';2.320000;1.240718e+02;8.301862e-01;3.145826e-01
'unknown';2.330000;1.227638e+02;8.235345e-01;3.624624e-01
'unknown';2.340000;1.208971e+02;8.152290e-01;3.059453e-01
'unknown';2.350000;1.195584e+02;8.033316e-01;3.898759e-01
'unknown';2.360000;1.211938e+02;7.693961e-01;4.198844e-01
'unknown';2.370000;1.285408e+02;7.535963e-01;3.612204e-01
'unknown';2.380000;1.374542e+02;7.662941e-01;1.938404e-01
'unknown';2.390000;1.447378e+02;8.018004e-01;2.184175e-01
'unknown';2.400000;1.473350e+02;8.126784e-01;2.723253e-01
'unknown';2.410000;1.479467e+02;7.937180e-01;3.983668e-01
'unknown';2.420000;1.485639e+02;7.834949e-01;3.271256e-01
'unknown';2.430000;1.504411e+02;7.861370e-01;2.632197e-01
'unknown';2.440000;1.541290e+02;7.890101e-01;1.663238e-01
'unknown';2.450000;1.592549e+02;7.855060e-01;1.649189e-01
'unknown';2.460000;1.630081e+02;7.845055e-01;1.782074e-01
'unknown';2.470000;1.650688e+02;7.919063e-01;1.798041e-01
'unknown';2.480000;1.647568e+02;7.967587e-01;1.989432e-01
'unknown';2.490000;1.635116e+02;7.963793e-01;1.770124e-01
'unknown';2.500000;1.621183e+02;7.946523e-01;1.947223e-01
'unknown';2.510000;1.253704e+02;7.904986e-01;1.874729e-01
'unknown';2.520000;7.145079e+01;5.248850e-01;2.202214e-01
'unknown';2.530000;1.781381e+01;5.213678e-01;2.129883e-01
'unknown';2.540000;0;2.608027e-01;1.598678e-01
'unknown';2.550000;0;5.235350e-01;1.126061e-01
'unknown';2.560000;0;2.627323e-01;1.171009e-01
'unknown';2.570000;0;2.627323e-01;1.303844e-01
'unknown';2.580000;0;0;1.190803e-01
'unknown';2.590000;0;0;7.265646e-02
'unknown';2.600000;0;0;3.481200e-02
'unknown';2.610000;2.153986e+01;2.520601e-01;3.609617e-02
'unknown';2.620000;4.619486e+01;5.113533e-01;4.190789e-02
'unknown';2.630000;7.146116e+01;7.780139e-01;5.662576e-02
'unknown';2.640000;7.340858e+01;7.817633e-01;6.759296e-02
'unknown';2.650000;4.875358e+01;5.224701e-01;7.500789e-02
'unknown';2.660000;2.348728e+01;2.558095e-01;8.110992e-02
'unknown';2.670000;0;0;8.180780e-02
'unknown';2.680000;0;0;8.618978e-02
'unknown';2.690000;0;0;8.738577e-02
'unknown';2.700000;0;0;7.343326e-02
'unknown';2.710000;2.293261e+01;2.434265e-01;5.232537e-02
'unknown';2.720000;4.862538e+01;4.845346e-01;6.896641e-02
'unknown';2.730000;7.365234e+01;7.384839e-01;1.119199e-01
'unknown';2.740000;7.574670e+01;7.332347e-01;1.303080e-01
'unknown';2.750000;6.987352e+01;7.346206e-01;1.513076e-01
'unknown';2.760000;6.702023e+01;7.170024e-01;1.501033e-01
'unknown';2.770000;7.589860e+01;7.243974e-01;1.308484e-01
'unknown';2.780000;1.209043e+02;7.586579e-01;1.052248e-01
'unknown';2.790000;1.630680e+02;8.116632e-01;6.381404e-02
'unknown';2.800000;1.927424e+02;8.587248e-01;1.236765e-01
'unknown';2.810000;1.904402e+02;8.747482e-01;1.559996e-01
'unknown';2.820000;1.878646e+02;8.777263e-01;2.644215e-01
'unknown';2.830000;1.854666e+02;8.784522e-01;2.704024e-01
'unknown';2.840000;1.835234e+02;8.801522e-01;3.701482e-01
'unknown';2.850000;1.819035e+02;8.802080e-01;5.130157e-01
'unknown';2.860000;1.803258e+02;8.774425e-01;7.213106e-01
'unknown';2.870000;1.779222e+02;8.653325e-01;7.538713e-01
'unknown';2.880000;1.747193e+02;8.548405e-01;5.451970e-01
'unknown';2.890000;1.703269e+02;8.374332e-01;4.567297e-01
'unknown';2.900000;1.653400e+02;8.231084e-01;3.710422e-01
'unknown';2.910000;1.607702e+02;8.133487e-01;4.081542e-01
'unknown';2.920000;1.571462e+02;8.099713e-01;2.486938e-01
'unknown';2.930000;1.552153e+02;8.132582e-01;2.697145e-01
'unknown';2.940000;1.537731e+02;8.202940e-01;1.882486e-01
'unknown';2.950000;1.524732e+02;8.327828e-01;2.055217e-01
'unknown';2.960000;1.509705e+02;8.452638e-01;1.860724e-01
'unknown';2.970000;1.491261e+02;8.493292e-01;2.276936e-01
'unknown';2.980000;1.473367e+02;8.501598e-01;2.833618e-01
'unknown';2.990000;1.457618e+02;8.496087e-01;2.620696e-01
'unknown';3.000000;1.445923e+02;8.489167e-01;3.015879e-01
'unknown';3.010000;1.438616e+02;8.459582e-01;3.556291e-01
'unknown';3.020000;1.434068e+02;8.397400e-01;3.922780e-01
'unknown';3.030000;1.430137e+02;8.275547e-01;4.183461e-01
'unknown';3.040000;1.424653e+02;8.178945e-01;3.711539e-01
'unknown';3.050000;1.415100e+02;8.114101e-01;3.366195e-01
'unknown';3.060000;1.409558e+02;8.138676e-01;2.589076e-01
'unknown';3.070000;1.407836e+02;8.159642e-01;2.234681e-01
'unknown';3.080000;1.410671e+02;8.164275e-01;2.200014e-01
'unknown';3.090000;1.415040e+02;7.966424e-01;2.399517e-01
'unknown';3.100000;1.371308e+02;7.762272e-01;2.685423e-01
'unknown';3.110000;1.327501e+02;7.690144e-01;2.190114e-01
'unknown';3.120000;1.297645e+02;7.773255e-01;1.918162e-01
'unknown';3.130000;1.308705e+02;7.926974e-01;1.095252e-01
'unknown';3.140000;1.316616e+02;7.976613e-01;1.316639e-01
'unknown';3.150000;1.303391e+02;8.114319e-01;1.725255e-01
'unknown';3.160000;1.293921e+02;8.224422e-01;2.090505e-01
'unknown';3.170000;1.284366e+02;8.318396e-01;2.646672e-01
'unknown';3.180000;1.273786e+02;8.348662e-01;2.166763e-01
'unknown';3.190000;1.260396e+02;8.314037e-01;1.905111e-01
'unknown';3.200000;1.245349e+02;8.269618e-01;1.159037e-01
'unknown';3.210000;1.232251e+02;8.258939e-01;2.173372e-01
'unknown';3.220000;1.224223e+02;8.246157e-01;2.334411e-01
'unknown';3.230000;1.222364e+02;8.221669e-01;2.684810e-01
'unknown';3.240000;1.225466e+02;8.132629e-01;2.375729e-01
'unknown';3.250000;1.231288e+02;8.109897e-01;3.024420e-01
'unknown';3.260000;1.238789e+02;8.128070e-01;2.493338e-01
'unknown';3.270000;1.245728e+02;8.228841e-01;2.744876e-01
'unknown';3.280000;1.250743e+02;8.311093e-01;2.135061e-01
'unknown';3.290000;1.252710e+02;8.380125e-01;3.311090e-01
'unknown';3.300000;1.252740e+02;8.378960e-01;3.309264e-01
'unknown';3.310000;1.251478e+02;8.327429e-01;4.209849e-01
'unknown';3.320000;1.249211e+02;8.261517e-01;3.674932e-01
'unknown';3.330000;1.246382e+02;8.210536e-01;3.844682e-01
'unknown';3.340000;1.245349e+02;8.215280e-01;3.448450e-01
'unknown';3.350000;1.249153e+02;8.233767e-01;3.776225e-01
'unknown';3.360000;1.259866e+02;8.185083e-01;3.049899e-01
'unknown';3.370000;1.278785e+02;8.048989e-01;2.967196e-01
'unknown';3.380000;8.595929e+01;5.296424e-01;2.542914e-01
'unknown';3.390000;4.343712e+01;2.614973e-01;2.745752e-01
'unknown';3.400000;0;0;2.252761e-01
'unknown';3.410000;0;2.611852e-01;1.929255e-01
'unknown';3.420000;0;2.611852e-01;1.207341e-01
'unknown';3.430000;0;2.611852e-01;1.006052e-01
'unknown';3.440000;0;0;9.109650e-02
'unknown';3.450000;0;0;9.265935e-02
'unknown';3.460000;0;0;8.806864e-02
'unknown';3.470000;0;0;1.050675e-01
'unknown';3.480000;0;0;1.222962e-01
'unknown';3.490000;0;0;9.943543e-02
'unknown';3.500000;0;0;5.377299e-02
'unknown';3.510000;0;0;2.842925e-02
'unknown';3.520000;0;0;3.842386e-02
'unknown';3.530000;0;0;2.703544e-02
'unknown';3.540000;0;0;3.806341e-02
'unknown';3.550000;0;0;3.993706e-02
'unknown';3.560000;0;0;4.886617e-02
'unknown';3.570000;0;0;3.783821e-02
'unknown';3.580000;0;0;3.854807e-02
'unknown';3.590000;2.298062e+01;2.605622e-01;5.133997e-02
'unknown';3.600000;4.594930e+01;5.162421e-01;6.733409e-02
'unknown';3.610000;4.594930e+01;5.162421e-01;7.387262e-02
'unknown';3.620000;2.296868e+01;2.556799e-01;7.075945e-02
'unknown';3.630000;2.776522e+01;2.578286e-01;7.026461e-02
'unknown';3.640000;5.313728e+01;5.069911e-01;5.338407e-02
'unknown';3.650000;7.866991e+01;7.635052e-01;4.370534e-02
'unknown';3.660000;7.824333e+01;7.677564e-01;2.443026e-02
'unknown';3.670000;7.809005e+01;7.754130e-01;3.098206e-02
'unknown';3.680000;7.388805e+01;7.794666e-01;4.194495e-02
'unknown';3.690000;4.654940e+01;5.173867e-01;4.346724e-02
'unknown';3.700000;2.133062e+01;2.605676e-01;4.654758e-02
'unknown';3.710000;0;0;5.385229e-02
'unknown';3.720000;0;0;8.855738e-02
'unknown';3.730000;0;2.601902e-01;1.015415e-01
'unknown';3.740000;0;2.601902e-01;9.054891e-02
'unknown';3.750000;0;5.307080e-01;4.539241e-02
'unknown';3.760000;0;2.705179e-01;4.157492e-02
'unknown';3.770000;0;2.705179e-01;4.679421e-02
'unknown';3.780000;0;0;6.151209e-02
'unknown';3.790000;0;0;6.177822e-02
'unknown';3.800000;0;0;7.372459e-02
'unknown';3.810000;0;0;7.171164e-02
'unknown';3.820000;2.602091e+01;2.646619e-01;6.658847e-02
'unknown';3.830000;4.810741e+01;5.234087e-01;7.085816e-02
'unknown';3.840000;4.810741e+01;5.234087e-01;7.866696e-02
'unknown';3.850000;4.541769e+01;5.077004e-01;8.075110e-02
'unknown';3.860000;5.020833e+01;5.031245e-01;6.927528e-02
'unknown';3.870000;5.020833e+01;5.031245e-01;7.221413e-02
'unknown';3.880000;2.687714e+01;2.541709e-01;6.355234e-02
'unknown';3.890000;6.093467e+01;2.584247e-01;5.248718e-02
'unknown';3.900000;1.227602e+02;5.380102e-01;3.560663e-02
'unknown';3.910000;1.854410e+02;8.217120e-01;4.397871e-02
'unknown';3.920000;1.880635e+02;8.545220e-01;6.202703e-02
'unknown';3.930000;1.904238e+02;8.669874e-01;1.388248e-01
'unknown';3.940000;1.921779e+02;8.745577e-01;1.925397e-01
'unknown';3.950000;1.932216e+02;8.720550e-01;2.624024e-01
'unknown';3.960000;1.939491e+02;8.667021e-01;2.927953e-01
'unknown';3.970000;1.944340e+02;8.557310e-01;2.452245e-01
'unknown';3.980000;1.942399e+02;8.381639e-01;3.006432e-01
'unknown';3.990000;1.942286e+02;8.092463e-01;3.157925e-01
'unknown';4.000000;1.946187e+02;7.759228e-01;3.410582e-01
'unknown';4.010000;1.302119e+02;7.336454e-01;2.202694e-01
'unknown';4.020000;6.531004e+01;6.943943e-01;1.712970e-01
'unknown';4.030000;0;6.609674e-01;1.603285e-01
'unknown';4.040000;0;6.313685e-01;1.896061e-01
'unknown';4.050000;0;4.128394e-01;2.243109e-01
'unknown';4.060000;0;4.249249e-01;2.533954e-01
'unknown';4.070000;0;2.256362e-01;2.245268e-01
'unknown';4.080000;5.401416e+01;4.730533e-01;1.613002e-01
'unknown';4.090000;1.041609e+02;5.011417e-01;1.232790e-01
'unknown';4.100000;1.529536e+02;7.751422e-01;1.285433e-01
